Pera Hanna spent 9 seconds in queue.
Valimaa Inuzuka spent 22 seconds in queue.
Hitoshi Kiran spent 32 seconds in queue.
Suling Boris spent 5 seconds in queue.
Kojemiachenko Greta spent 13 seconds in queue.
Hamm Pedro spent 24 seconds in queue.
Lourencini Kristo spent 30 seconds in queue.
Gregory Hamlin spent 13 seconds in queue.
Pedro Lourencao spent 25 seconds in queue.
Kpodo Awiti spent 33 seconds in queue.
Omar Thiery spent 9 seconds in queue.
Morand Gwen spent 20 seconds in queue.
Lattar Calogero spent 28 seconds in queue.
Awiti Ryan spent 42 seconds in queue.
MZoudi Thomas spent 51 seconds in queue.
Moreau Gwen spent 14 seconds in queue.
Lau Calorio spent 30 seconds in queue.
Regina Pirjo spent 39 seconds in queue.
Waltari Inuzuka spent 51 seconds in queue.
Hitoshi Kiw spent 61 seconds in queue.
Suling Boris spent 70 seconds in queue.
Lucas Ubweza spent 18 seconds in queue.
Awora Ryaz spent 27 seconds in queue.
Nahid Tiffany spent 38 seconds in queue.
Morel Hamilton spent 14 seconds in queue.
Laubmeier Calorio spent 24 seconds in queue.
Rosa Aki spent 34 seconds in queue.
Vanhanen Inuzuka spent 12 seconds in queue.
Boris Kokorin spent 8 seconds in queue.
Grover Hammond spent 15 seconds in queue.

The maximum lenght of the queue was: 6.
The maximum time spent by a person in the queue was: 70.
The minimum time spent by a person in the queue was: 5.
The average time spent by a person in the queue was: 27.0.
